Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric
Life expectancy at birth (years),Published,2015,Africa,,Cabo Verde,Both sexes,74.9,74.88204
Life expectancy at birth (years),Published,2019,Africa,,Cabo Verde,Both sexes,74,74.03075
Life expectancy at birth (years),Published,2019,Americas,,Costa Rica,Male,78.3,78.31458
Life expectancy at birth (years),Published,2019,Americas,,Costa Rica,Female,83.4,83.43867
Life expectancy at birth (years),Published,2019,Americas,,Costa Rica,Both sexes,80.8,80.84692
Life expectancy at birth (years),Published,2019,Americas,,Cuba,Male,75.4,75.36885
Life expectancy at birth (years),Published,2019,Americas,,Cuba,Female,80.3,80.2512
Life expectancy at birth (years),Published,2000,Europe,,Cyprus,Male,76.5,76.52765
Life expectancy at birth (years),Published,2000,Europe,,Cyprus,Female,81,80.98973
Life expectancy at birth (years),Published,2000,Europe,,Cyprus,Both sexes,78.7,78.74654
Life expectancy at birth (years),Published,2000,Europe,,Czechia,Male,71.5,71.5343
Life expectancy at birth (years),Published,2000,Europe,,Czechia,Female,78.3,78.2887
Life expectancy at birth (years),Published,2000,Europe,,Czechia,Both sexes,75,74.95213
Life expectancy at birth (years),Published,2010,Europe,,Germany,Male,77.8,77.77688
Life expectancy at birth (years),Published,2010,Europe,,Germany,Female,82.5,82.53684
Life expectancy at birth (years),Published,2010,Europe,,Germany,Both sexes,80.2,80.16794
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Djibouti,Male,60.6,60.63437
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Djibouti,Female,63.3,63.25947
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Djibouti,Both sexes,61.9,61.8674
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Djibouti,Both sexes,64.6,64.64274
Life expectancy at birth (years),Published,2015,Europe,,Denmark,Male,78.8,78.7998
Life expectancy at birth (years),Published,2015,Europe,,Denmark,Female,82.4,82.35448
Life expectancy at birth (years),Published,2015,Europe,,Denmark,Both sexes,80.6,80.59389
Life expectancy at birth (years),Published,2015,Americas,,Dominican Republic,Male,68.6,68.62415
Life expectancy at birth (years),Published,2015,Americas,,Dominican Republic,Female,75.2,75.20355
Life expectancy at birth (years),Published,2019,Americas,,Dominican Republic,Both sexes,72.8,72.84367
Life expectancy at birth (years),Published,2019,Africa,,Algeria,Male,76.2,76.22712
Life expectancy at birth (years),Published,2019,Africa,,Algeria,Female,78.1,78.12115
Life expectancy at birth (years),Published,2019,Africa,,Algeria,Both sexes,77.1,77.13415
Life expectancy at birth (years),Published,2019,Americas,,Ecuador,Male,76.4,76.41323
Life expectancy at birth (years),Published,2019,Americas,,Ecuador,Female,80.5,80.50043
Life expectancy at birth (years),Published,2000,Americas,,Ecuador,Both sexes,74.5,74.53304
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Egypt,Male,67.3,67.28972
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Egypt,Female,72.4,72.41843
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Egypt,Both sexes,69.8,69.82364
Life expectancy at birth (years),Published,2000,Africa,,Eritrea,Male,51.2,51.16452
Life expectancy at birth (years),Published,2000,Africa,,Eritrea,Female,58.5,58.48181
Life expectancy at birth (years),Published,2010,Africa,,Eritrea,Both sexes,60.7,60.69732
Life expectancy at birth (years),Published,2010,Europe,,Spain,Male,78.8,78.76283
Life expectancy at birth (years),Published,2010,Europe,,Spain,Female,84.6,84.58403
Life expectancy at birth (years),Published,2010,Europe,,Spain,Both sexes,81.7,81.69273
Life expectancy at birth (years),Published,2010,Europe,,Estonia,Male,70.9,70.85741
Life expectancy at birth (years),Published,2010,Europe,,Estonia,Female,80.4,80.44887
Life expectancy at birth (years),Published,2015,Europe,,Estonia,Both sexes,77.6,77.60223
Life expectancy at birth (years),Published,2015,Africa,,Ethiopia,Male,65,65.03864
Life expectancy at birth (years),Published,2015,Africa,,Ethiopia,Female,68.6,68.64172
Life expectancy at birth (years),Published,2015,Africa,,Ethiopia,Both sexes,66.8,66.82242
Life expectancy at birth (years),Published,2015,Europe,,Finland,Male,78.5,78.52988
Life expectancy at birth (years),Published,2015,Europe,,Finland,Female,83.9,83.85168
Life expectancy at birth (years),Published,2019,Europe,,Finland,Female,84,84.03592
Life expectancy at birth (years),Published,2019,Europe,,Finland,Both sexes,81.6,81.6124
Life expectancy at birth (years),Published,2019,Western Pacific,,Fiji,Male,65.9,65.93024
Life expectancy at birth (years),Published,2019,Western Pacific,,Fiji,Female,70.3,70.28452
Life expectancy at birth (years),Published,2019,Western Pacific,,Fiji,Both sexes,68,68.01035
Life expectancy at birth (years),Published,2019,Europe,,France,Male,79.8,79.75678
Life expectancy at birth (years),Published,2000,Europe,,France,Both sexes,78.9,78.91328
Life expectancy at birth (years),Published,2000,Western Pacific,,Micronesia (Federated States of),Male,58.5,58.45256
Life expectancy at birth (years),Published,2000,Western Pacific,,Micronesia (Federated States of),Female,64.2,64.20377
Life expectancy at birth (years),Published,2000,Western Pacific,,Micronesia (Federated States of),Both sexes,61.2,61.19261
Life expectancy at birth (years),Published,2000,Africa,,Gabon,Male,56.1,56.14642
Life expectancy at birth (years),Published,2000,Africa,,Gabon,Female,60.1,60.10243
Life expectancy at birth (years),Published,2010,Africa,,Gabon,Both sexes,62.2,62.16494
Life expectancy at birth (years),Published,2010,Europe,,United Kingdom of Great Britain and Northern Ireland,Male,78.3,78.34451
Life expectancy at birth (years),Published,2010,Europe,,United Kingdom of Great Britain and Northern Ireland,Female,82.1,82.09373
Life expectancy at birth (years),Published,2010,Europe,,United Kingdom of Great Britain and Northern Ireland,Both sexes,80.2,80.24544
Life expectancy at birth (years),Published,2010,Europe,,Georgia,Male,67.4,67.43574
Life expectancy at birth (years),Published,2015,Europe,,Georgia,Female,76.9,76.9273
Life expectancy at birth (years),Published,2015,Europe,,Georgia,Both sexes,72.6,72.58078
Life expectancy at birth (years),Published,2015,Africa,,Ghana,Male,62,61.96555
Life expectancy at birth (years),Published,2015,Africa,,Ghana,Female,67.4,67.41139
Life expectancy at birth (years),Published,2015,Africa,,Ghana,Both sexes,64.5,64.5454
Life expectancy at birth (years),Published,2015,Africa,,Guinea,Male,57.3,57.27705
Life expectancy at birth (years),Published,2019,Africa,,Guinea,Female,62.3,62.25351
Life expectancy at birth (years),Published,2019,Africa,,Guinea,Both sexes,61,61.00587
Life expectancy at birth (years),Published,2019,Africa,,Gambia,Male,63.4,63.41956
Life expectancy at birth (years),Published,2019,Africa,,Gambia,Female,67.7,67.65157
Life expectancy at birth (years),Published,2019,Africa,,Gambia,Both sexes,65.5,65.4712
Life expectancy at birth (years),Published,2019,Africa,,Guinea-Bissau,Male,57.4,57.35839
Life expectancy at birth (years),Published,2000,Africa,,Guinea-Bissau,Female,52.8,52.75846
Life expectancy at birth (years),Published,2000,Africa,,Guinea-Bissau,Both sexes,50.3,50.28384
Life expectancy at birth (years),Published,2000,Africa,,Equatorial Guinea,Male,52.4,52.37481
Life expectancy at birth (years),Published,2000,Africa,,Equatorial Guinea,Female,56.5,56.4894
Life expectancy at birth (years),Published,2000,Africa,,Equatorial Guinea,Both sexes,54.3,54.31445
Life expectancy at birth (years),Published,2000,Europe,,Greece,Male,75.5,75.51034
Life expectancy at birth (years),Published,2010,Europe,,Greece,Female,82.7,82.70878
Life expectancy at birth (years),Published,2010,Europe,,Greece,Both sexes,80.1,80.09935
Life expectancy at birth (years),Published,2010,Americas,,Grenada,Male,69.2,69.20226
Life expectancy at birth (years),Published,2010,Americas,,Grenada,Female,75.5,75.47548
Life expectancy at birth (years),Published,2010,Americas,,Grenada,Both sexes,72,71.96705
Life expectancy at birth (years),Published,2010,Americas,,Guatemala,Male,65.8,65.81696
Life expectancy at birth (years),Published,2015,Americas,,Guatemala,Female,74,74.00925
Life expectancy at birth (years),Published,2015,Americas,,Guatemala,Both sexes,70.9,70.94937
Life expectancy at birth (years),Published,2015,Americas,,Guyana,Male,62.3,62.31269
Life expectancy at birth (years),Published,2015,Americas,,Guyana,Female,69.2,69.22475
Life expectancy at birth (years),Published,2015,Americas,,Guyana,Both sexes,65.6,65.58898
Life expectancy at birth (years),Published,2015,Americas,,Honduras,Male,67.6,67.57335
Life expectancy at birth (years),Published,2019,Americas,,Honduras,Male,70.7,70.67292
Life expectancy at birth (years),Published,2019,Americas,,Honduras,Female,73.2,73.16344
Life expectancy at birth (years),Published,2019,Americas,,Honduras,Both sexes,71.9,71.93507
Life expectancy at birth (years),Published,2019,Europe,,Croatia,Male,75.5,75.53787
Life expectancy at birth (years),Published,2019,Europe,,Croatia,Female,81.6,81.60278
Life expectancy at birth (years),Published,2019,Europe,,Croatia,Both sexes,78.6,78.63747
Life expectancy at birth (years),Published,2000,Americas,,Haiti,Female,57.2,57.17622
Life expectancy at birth (years),Published,2000,Americas,,Haiti,Both sexes,57,57.04974
Life expectancy at birth (years),Published,2000,Europe,,Hungary,Male,67.1,67.06995
Life expectancy at birth (years),Published,2000,Europe,,Hungary,Female,75.6,75.63371
Life expectancy at birth (years),Published,2000,Europe,,Hungary,Both sexes,71.3,71.33797
Life expectancy at birth (years),Published,2000,South-East Asia,,Indonesia,Male,65.8,65.77052
Life expectancy at birth (years),Published,2010,South-East Asia,,Indonesia,Male,67.5,67.53188
Life expectancy at birth (years),Published,2010,South-East Asia,,Indonesia,Female,71,71.03043
Life expectancy at birth (years),Published,2010,South-East Asia,,Indonesia,Both sexes,69.3,69.25565
Life expectancy at birth (years),Published,2010,South-East Asia,,India,Male,65.7,65.68546
Life expectancy at birth (years),Published,2010,South-East Asia,,India,Female,68.9,68.93996
Life expectancy at birth (years),Published,2010,South-East Asia,,India,Both sexes,67.2,67.22851
Life expectancy at birth (years),Published,2015,Europe,,Ireland,Male,79.3,79.32594
Life expectancy at birth (years),Published,2015,Europe,,Ireland,Female,82.9,82.92957
Life expectancy at birth (years),Published,2015,Europe,,Ireland,Both sexes,81.1,81.1396
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Iran (Islamic Republic of),Male,75,74.96297
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Iran (Islamic Republic of),Female,78.5,78.51698
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Iran (Islamic Republic of),Both sexes,76.7,76.66063
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Iraq,Male,69.9,69.92992
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Iraq,Female,75,74.96682
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Iraq,Both sexes,72.4,72.42317
Life expectancy at birth (years),Published,2019,Europe,,Iceland,Male,80.8,80.81141
Life expectancy at birth (years),Published,2019,Europe,,Iceland,Female,83.9,83.86916
Life expectancy at birth (years),Published,2019,Europe,,Iceland,Both sexes,82.3,82.32826
Life expectancy at birth (years),Published,2000,Europe,,Israel,Male,76.4,76.35535
Life expectancy at birth (years),Published,2000,Europe,,Israel,Female,80.7,80.66427
Life expectancy at birth (years),Published,2000,Europe,,Israel,Both sexes,78.6,78.57471
Life expectancy at birth (years),Published,2000,Europe,,Italy,Male,76.4,76.40755
Life expectancy at birth (years),Published,2000,Europe,,Italy,Female,82.1,82.14725
Life expectancy at birth (years),Published,2000,Europe,,Italy,Both sexes,79.4,79.36485
Life expectancy at birth (years),Published,2010,Americas,,Jamaica,Male,73.3,73.27067
Life expectancy at birth (years),Published,2010,Americas,,Jamaica,Female,78.5,78.51085
Life expectancy at birth (years),Published,2010,Americas,,Jamaica,Both sexes,75.8,75.7666
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Jordan,Male,75.6,75.5889
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Jordan,Female,77.6,77.6183
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Jordan,Both sexes,76.6,76.58584
Life expectancy at birth (years),Published,2015,Western Pacific,,Japan,Male,80.7,80.69969
Life expectancy at birth (years),Published,2015,Western Pacific,,Japan,Female,86.4,86.41145
Life expectancy at birth (years),Published,2015,Western Pacific,,Japan,Both sexes,83.6,83.61682
Life expectancy at birth (years),Published,2015,Europe,,Kazakhstan,Male,67.4,67.42753
Life expectancy at birth (years),Published,2015,Europe,,Kazakhstan,Female,76.2,76.21558
Life expectancy at birth (years),Published,2019,Europe,,Kazakhstan,Both sexes,74,73.95099
Life expectancy at birth (years),Published,2019,Africa,,Kenya,Male,63.7,63.69933
Life expectancy at birth (years),Published,2019,Africa,,Kenya,Female,68.4,68.44287
Life expectancy at birth (years),Published,2019,Africa,,Kenya,Both sexes,66.1,66.08511
Life expectancy at birth (years),Published,2019,Europe,,Kyrgyzstan,Male,70.7,70.74789
Life expectancy at birth (years),Published,2019,Europe,,Kyrgyzstan,Female,77.3,77.31073
Life expectancy at birth (years),Published,2000,Western Pacific,,Cambodia,Male,56,56.02896
Life expectancy at birth (years),Published,2000,Western Pacific,,Cambodia,Female,61.2,61.24218
Life expectancy at birth (years),Published,2000,Western Pacific,,Cambodia,Both sexes,58.7,58.68463
Life expectancy at birth (years),Published,2000,Western Pacific,,Kiribati,Male,52.3,52.31359
Life expectancy at birth (years),Published,2000,Western Pacific,,Kiribati,Female,59.4,59.4002
Life expectancy at birth (years),Published,2000,Western Pacific,,Kiribati,Both sexes,55.7,55.7305
Life expectancy at birth (years),Published,2010,Western Pacific,,Kiribati,Both sexes,58,58.0072
Life expectancy at birth (years),Published,2010,Western Pacific,,Republic of Korea,Male,77.1,77.12246
Life expectancy at birth (years),Published,2010,Western Pacific,,Republic of Korea,Female,83.8,83.77984
Life expectancy at birth (years),Published,2010,Western Pacific,,Republic of Korea,Both sexes,80.6,80.58366
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Kuwait,Male,78.8,78.76203
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Kuwait,Female,81.4,81.42751
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Kuwait,Both sexes,81.1,81.13089
Life expectancy at birth (years),Published,2015,Western Pacific,,Lao People's Democratic Republic,Male,64.7,64.69891
Life expectancy at birth (years),Published,2015,Western Pacific,,Lao People's Democratic Republic,Female,69.6,69.5557
Life expectancy at birth (years),Published,2015,Western Pacific,,Lao People's Democratic Republic,Both sexes,67.1,67.07706
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Lebanon,Male,73.5,73.47224
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Lebanon,Female,78.8,78.81971
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Lebanon,Both sexes,76.4,76.43958
Life expectancy at birth (years),Published,2019,Africa,,Liberia,Male,63.2,63.15286
Life expectancy at birth (years),Published,2019,Africa,,Liberia,Female,65,65.00237
Life expectancy at birth (years),Published,2019,Africa,,Liberia,Both sexes,64.1,64.07872
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Libya,Male,74.2,74.20638
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Libya,Both sexes,74.4,74.39559
Life expectancy at birth (years),Published,2000,Americas,,Saint Lucia,Male,70.3,70.30642
Life expectancy at birth (years),Published,2000,Americas,,Saint Lucia,Female,76.3,76.31937
Life expectancy at birth (years),Published,2000,Americas,,Saint Lucia,Both sexes,73.2,73.21431
Life expectancy at birth (years),Published,2000,South-East Asia,,Sri Lanka,Male,67.9,67.92283
Life expectancy at birth (years),Published,2000,South-East Asia,,Sri Lanka,Female,76.3,76.29864
Life expectancy at birth (years),Published,2010,South-East Asia,,Sri Lanka,Both sexes,73.3,73.30135
Life expectancy at birth (years),Published,2010,Africa,,Lesotho,Male,44.5,44.50241
Life expectancy at birth (years),Published,2010,Africa,,Lesotho,Female,50.7,50.69098
Life expectancy at birth (years),Published,2010,Africa,,Lesotho,Both sexes,47.4,47.37603
Life expectancy at birth (years),Published,2010,Europe,,Lithuania,Male,67.5,67.48557
Life expectancy at birth (years),Published,2010,Europe,,Lithuania,Female,78.7,78.66704
Life expectancy at birth (years),Published,2015,Europe,,Lithuania,Female,79.5,79.47274
Life expectancy at birth (years),Published,2015,Europe,,Lithuania,Both sexes,74.4,74.37679
Life expectancy at birth (years),Published,2015,Europe,,Luxembourg,Male,80.3,80.2582
Life expectancy at birth (years),Published,2015,Europe,,Luxembourg,Female,84.3,84.28574
Life expectancy at birth (years),Published,2015,Europe,,Luxembourg,Both sexes,82.3,82.30824
Life expectancy at birth (years),Published,2015,Europe,,Latvia,Male,69.9,69.92623
Life expectancy at birth (years),Published,2019,Europe,,Latvia,Female,79.8,79.83988
Life expectancy at birth (years),Published,2019,Europe,,Latvia,Both sexes,75.4,75.37604
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Morocco,Male,71.7,71.68313
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Morocco,Female,74.3,74.31212
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Morocco,Both sexes,73,72.98804
Life expectancy at birth (years),Published,2019,Europe,,Republic of Moldova,Male,69.3,69.26459
Life expectancy at birth (years),Published,2000,Europe,,Republic of Moldova,Both sexes,66.9,66.87234
Life expectancy at birth (years),Published,2000,Africa,,Madagascar,Male,57.5,57.53505
Life expectancy at birth (years),Published,2000,Africa,,Madagascar,Female,60.2,60.17678
Life expectancy at birth (years),Published,2000,Africa,,Madagascar,Both sexes,58.8,58.82296
Life expectancy at birth (years),Published,2000,South-East Asia,,Maldives,Male,70.4,70.42198
Life expectancy at birth (years),Published,2000,South-East Asia,,Maldives,Female,71.5,71.48225
Life expectancy at birth (years),Published,2010,South-East Asia,,Maldives,Female,78.2,78.17097
Life expectancy at birth (years),Published,2010,South-East Asia,,Maldives,Both sexes,77,76.99346
Life expectancy at birth (years),Published,2010,Americas,,Mexico,Male,72.2,72.22916
Life expectancy at birth (years),Published,2010,Americas,,Mexico,Female,78,78.0138
Life expectancy at birth (years),Published,2010,Americas,,Mexico,Both sexes,75.1,75.1333
Life expectancy at birth (years),Published,2010,Europe,,North Macedonia,Male,70.9,70.92233
Life expectancy at birth (years),Published,2015,Europe,,North Macedonia,Female,75.9,75.87265
Life expectancy at birth (years),Published,2015,Europe,,North Macedonia,Both sexes,73.7,73.72823
Life expectancy at birth (years),Published,2015,Africa,,Mali,Male,60.4,60.35869
Life expectancy at birth (years),Published,2015,Africa,,Mali,Female,61.4,61.41174
Life expectancy at birth (years),Published,2015,Africa,,Mali,Both sexes,60.9,60.88689
Life expectancy at birth (years),Published,2015,Europe,,Malta,Male,79.6,79.62821
Life expectancy at birth (years),Published,2019,Europe,,Malta,Female,83.8,83.79854
Life expectancy at birth (years),Published,2019,Europe,,Malta,Both sexes,81.9,81.89443
Life expectancy at birth (years),Published,2019,South-East Asia,,Myanmar,Male,65.9,65.90776
Life expectancy at birth (years),Published,2019,South-East Asia,,Myanmar,Female,72.2,72.20418
Life expectancy at birth (years),Published,2019,South-East Asia,,Myanmar,Both sexes,69.1,69.1335
Life expectancy at birth (years),Published,2000,Europe,,Montenegro,Female,76.3,76.26957
Life expectancy at birth (years),Published,2000,Europe,,Montenegro,Both sexes,73.6,73.56364
Life expectancy at birth (years),Published,2000,Western Pacific,,Mongolia,Male,57.3,57.34036
Life expectancy at birth (years),Published,2000,Western Pacific,,Mongolia,Female,64.1,64.11119
Life expectancy at birth (years),Published,2000,Western Pacific,,Mongolia,Both sexes,60.5,60.52023
Life expectancy at birth (years),Published,2000,Africa,,Mozambique,Male,48.4,48.37201
Life expectancy at birth (years),Published,2010,Africa,,Mozambique,Female,56.3,56.28635
Life expectancy at birth (years),Published,2010,Africa,,Mozambique,Both sexes,53.5,53.47655
Life expectancy at birth (years),Published,2010,Africa,,Mauritania,Male,65.4,65.39942
Life expectancy at birth (years),Published,2010,Africa,,Mauritania,Female,65.9,65.86855
Life expectancy at birth (years),Published,2010,Africa,,Mauritania,Both sexes,65.6,65.59114
Life expectancy at birth (years),Published,2010,Africa,,Mauritius,Male,69.8,69.83536
Life expectancy at birth (years),Published,2015,Africa,,Mauritius,Male,71,70.96014
Life expectancy at birth (years),Published,2015,Africa,,Mauritius,Female,77.4,77.42522
Life expectancy at birth (years),Published,2015,Africa,,Mauritius,Both sexes,74.1,74.13624
Life expectancy at birth (years),Published,2015,Africa,,Malawi,Male,59.7,59.67438
Life expectancy at birth (years),Published,2015,Africa,,Malawi,Female,66.5,66.4723
Life expectancy at birth (years),Published,2015,Africa,,Malawi,Both sexes,63,63.0444
Life expectancy at birth (years),Published,2019,Western Pacific,,Malaysia,Male,72.6,72.60717
Life expectancy at birth (years),Published,2019,Western Pacific,,Malaysia,Female,77.1,77.07645
Life expectancy at birth (years),Published,2019,Western Pacific,,Malaysia,Both sexes,74.7,74.718
Life expectancy at birth (years),Published,2019,Africa,,Namibia,Male,60.6,60.58327
Life expectancy at birth (years),Published,2019,Africa,,Namibia,Female,68.4,68.44906
Life expectancy at birth (years),Published,2019,Africa,,Namibia,Both sexes,64.6,64.57598
Life expectancy at birth (years),Published,2000,Africa,,Niger,Female,51,50.98764
Life expectancy at birth (years),Published,2000,Africa,,Niger,Both sexes,50.4,50.35257
Life expectancy at birth (years),Published,2000,Africa,,Nigeria,Male,52.2,52.16397
Life expectancy at birth (years),Published,2000,Africa,,Nigeria,Female,55.2,55.16698
Life expectancy at birth (years),Published,2000,Africa,,Nigeria,Both sexes,53.6,53.63285
Life expectancy at birth (years),Published,2010,Americas,,Nicaragua,Male,71.4,71.38432
Life expectancy at birth (years),Published,2010,Americas,,Nicaragua,Female,76.7,76.65556
Life expectancy at birth (years),Published,2010,Americas,,Nicaragua,Both sexes,74.1,74.05313
Life expectancy at birth (years),Published,2010,Europe,,Netherlands,Male,78.7,78.74343
Life expectancy at birth (years),Published,2010,Europe,,Netherlands,Female,82.5,82.49984
Life expectancy at birth (years),Published,2010,Europe,,Netherlands,Both sexes,80.7,80.68311
Life expectancy at birth (years),Published,2015,Europe,,Norway,Male,80.3,80.26122
Life expectancy at birth (years),Published,2015,Europe,,Norway,Female,83.7,83.70757
Life expectancy at birth (years),Published,2015,Europe,,Norway,Both sexes,82,82.00599
Life expectancy at birth (years),Published,2015,South-East Asia,,Nepal,Male,67.3,67.32189
Life expectancy at birth (years),Published,2015,South-East Asia,,Nepal,Female,71.4,71.39408
Life expectancy at birth (years),Published,2015,South-East Asia,,Nepal,Both sexes,69.4,69.4259
Life expectancy at birth (years),Published,2019,South-East Asia,,Nepal,Both sexes,70.9,70.88377
Life expectancy at birth (years),Published,2019,Western Pacific,,New Zealand,Male,80.4,80.36292
Life expectancy at birth (years),Published,2019,Western Pacific,,New Zealand,Female,83.5,83.51994
Life expectancy at birth (years),Published,2019,Western Pacific,,New Zealand,Both sexes,82,81.96268
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Oman,Male,73,72.9706
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Oman,Female,75.3,75.26434
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Pakistan,Male,59.3,59.321
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Pakistan,Female,61,60.98538
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Pakistan,Both sexes,60.1,60.0836
Life expectancy at birth (years),Published,2000,Americas,,Panama,Male,74.6,74.59988
Life expectancy at birth (years),Published,2000,Americas,,Panama,Female,80.1,80.075
Life expectancy at birth (years),Published,2000,Americas,,Panama,Both sexes,77.2,77.23182
Life expectancy at birth (years),Published,2010,Americas,,Peru,Male,75.6,75.61166
Life expectancy at birth (years),Published,2010,Americas,,Peru,Female,78.9,78.91058
Life expectancy at birth (years),Published,2010,Americas,,Peru,Both sexes,77.3,77.28428
Life expectancy at birth (years),Published,2010,Western Pacific,,Philippines,Male,66.6,66.63448
Life expectancy at birth (years),Published,2010,Western Pacific,,Philippines,Female,73.5,73.51962
Life expectancy at birth (years),Published,2010,Western Pacific,,Philippines,Both sexes,70,69.96309
Life expectancy at birth (years),Published,2015,Western Pacific,,Philippines,Both sexes,70.3,70.29715
Life expectancy at birth (years),Published,2015,Western Pacific,,Papua New Guinea,Male,62.6,62.56906
Life expectancy at birth (years),Published,2015,Western Pacific,,Papua New Guinea,Female,66.5,66.54095
Life expectancy at birth (years),Published,2015,Western Pacific,,Papua New Guinea,Both sexes,64.5,64.48792
Life expectancy at birth (years),Published,2015,Europe,,Poland,Male,73.4,73.36466
Life expectancy at birth (years),Published,2015,Europe,,Poland,Female,81.1,81.14729
Life expectancy at birth (years),Published,2019,Europe,,Poland,Both sexes,78.3,78.26672
Life expectancy at birth (years),Published,2019,South-East Asia,,Democratic People's Republic of Korea,Male,69.3,69.29003
Life expectancy at birth (years),Published,2019,South-East Asia,,Democratic People's Republic of Korea,Female,75.7,75.69452
Life expectancy at birth (years),Published,2019,South-East Asia,,Democratic People's Republic of Korea,Both sexes,72.6,72.63359
Life expectancy at birth (years),Published,2019,Europe,,Portugal,Male,78.6,78.5585
Life expectancy at birth (years),Published,2019,Europe,,Portugal,Female,84.4,84.39763
Life expectancy at birth (years),Published,2000,Americas,,Paraguay,Male,72.6,72.56705
Life expectancy at birth (years),Published,2000,Americas,,Paraguay,Female,77.1,77.13629
Life expectancy at birth (years),Published,2000,Americas,,Paraguay,Both sexes,74.8,74.79564
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Qatar,Male,71.1,71.11273
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Afghanistan,Male,61,61.03658
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Afghanistan,Female,62.3,62.34584
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Afghanistan,Both sexes,61.7,61.65429
Life expectancy at birth (years),Published,2015,Africa,,Angola,Male,59.1,59.13242
Life expectancy at birth (years),Published,2015,Africa,,Angola,Female,64.5,64.49519
Life expectancy at birth (years),Published,2019,Africa,,Angola,Both sexes,63.1,63.06044
Life expectancy at birth (years),Published,2019,Europe,,Albania,Male,76.3,76.25368
Life expectancy at birth (years),Published,2019,Europe,,Albania,Female,79.9,79.90692
Life expectancy at birth (years),Published,2019,Europe,,Albania,Both sexes,78,78.00018
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,United Arab Emirates,Male,75.1,75.09794
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,United Arab Emirates,Female,78.4,78.42261
Life expectancy at birth (years),Published,2000,Americas,,Argentina,Male,70.3,70.3352
Life expectancy at birth (years),Published,2000,Americas,,Argentina,Female,77.8,77.82746
Life expectancy at birth (years),Published,2000,Americas,,Argentina,Both sexes,74.1,74.08556
Life expectancy at birth (years),Published,2000,Europe,,Armenia,Male,68.6,68.58817
Life expectancy at birth (years),Published,2000,Europe,,Armenia,Female,74.9,74.90656
Life expectancy at birth (years),Published,2010,Europe,,Armenia,Both sexes,73.1,73.11896
Life expectancy at birth (years),Published,2010,Americas,,Antigua and Barbuda,Male,73.6,73.56496
Life expectancy at birth (years),Published,2010,Americas,,Antigua and Barbuda,Female,78.2,78.24885
Life expectancy at birth (years),Published,2010,Americas,,Antigua and Barbuda,Both sexes,75.9,75.94979
Life expectancy at birth (years),Published,2010,Western Pacific,,Australia,Male,79.8,79.8374
Life expectancy at birth (years),Published,2010,Western Pacific,,Australia,Female,84,83.98511
Life expectancy at birth (years),Published,2015,Western Pacific,,Australia,Both sexes,82.3,82.2783
Life expectancy at birth (years),Published,2015,Europe,,Austria,Male,78.6,78.60368
Life expectancy at birth (years),Published,2015,Europe,,Austria,Female,83.3,83.28748
Life expectancy at birth (years),Published,2015,Europe,,Austria,Both sexes,81,80.98208
Life expectancy at birth (years),Published,2015,Europe,,Azerbaijan,Male,67.9,67.94234
Life expectancy at birth (years),Published,2015,Europe,,Azerbaijan,Female,73.4,73.42561
